ID,s1_delta_r
ZINC000000758788,1.859359
ZINC000016526036,1.859382
ZINC000012371837,1.863156
ZINC000001710773,1.863474
ZINC000013513466,1.863474
ZINC000017160272,1.86421
ZINC001506399829,1.864444
ZINC000064845128,1.864786
ZINC000000082093,1.865312
ZINC000006660831,1.866611
ZINC000101028043,1.86792
ZINC000096766396,1.868556
ZINC000023453152,1.869769
ZINC000095971194,1.870865
ZINC000048381444,1.871038
ZINC000100564429,1.87347
ZINC000000157018,1.87537
ZINC000000693000,1.875629
ZINC000004827987,1.879247
ZINC000129095566,1.881655
ZINC000057743238,1.88221
ZINC000026893808,1.88229
ZINC000004054630,1.883484
ZINC000031334684,1.884259
ZINC000685944606,1.884917
ZINC000039757565,1.88496
ZINC000000193303,1.886372
ZINC000037370154,1.88774
ZINC000004593143,1.888351
ZINC000001103277,1.890452
ZINC000095427175,1.892266
ZINC000585117857,1.892566
ZINC000004007341,1.893047
ZINC000044769686,1.895768
ZINC000001019454,1.898481
ZINC000267350766,1.899189
